Roll Number,Total Marks
102003542,4.0
102003640,5.0
102003725,5.0
102003307,4.0
102003458,5.0
102003643,5.0
102017134,4.0
102003207,4.0
102003315,5.0
102003362,4.0
102003135,4.0
102003650,5.0
102003675,5.0
102003671,4.0
102003374,3.0
102017034,5.0
102003306,5.0
102003141,5.0
102003592,5.0
102003478,5.0
102017030,2.0
102016114,4.0
102003152,3.0
102017101,5.0
102003098,5.0
102003633,3.0
102003132,5.0
102066004,5.0
102003466,5.0
102017188,5.0
102003413,4.0
102016094,4.0
102017190,5.0
102017121,4.0
102003118,5.0
102003681,5.0
102183051,4.0
102017016,4.0
102003649,5.0
102003448,4.0
102003421,2.0
102017152,5.0
102053044,3.0
102003169,5.0
102016049,5.0
102017081,5.0
102053017,4.0
102003299,4.0
102017096,5.0
102003161,5.0
102003109,5.0
102003313,5.0
102003138,5.0
102017078,5.0
102003445,5.0
102003553,5.0
102017186,5.0
102003527,5.0
102003407,5.0
102017100,5.0
102003674,4.0
102183047,5.0
102003160,5.0
102003049,5.0
102003701,4.0
102017159,4.0
102067010,5.0
102003112,5.0
102003522,5.0
102017067,5.0
102003069,4.0
102053019,2.0
102016060,5.0
102003384,3.0
102017169,5.0
102017043,4.0
102017133,4.0
102183052,5.0
102003732,5.0
102003562,4.0
102003235,5.0
102003290,4.0
102003746,5.0
102003694,5.0
102003586,5.0
102003710,5.0
102003439,5.0
102016116,5.0
102003127,5.0
102017084,5.0
102067004,5.0
102016011,5.0
102017005,4.0
102016099,4.0
102053036,5.0
102003441,3.0
102003106,5.0
102003129,5.0
102003346,4.0
102003647,5.0
102003274,4.0
102003090,2.0
102183044,5.0
102003711,5.0
102003624,5.0
102003656,3.0
102017029,5.0
102016082,3.0
102003238,5.0
102003002,5.0
102003614,5.0
102003459,5.0
102003099,5.0
102003760,3.0
102017036,5.0
102003312,5.0
102017143,5.0
102016102,5.0
102067009,5.0
102003505,5.0
102003206,5.0
102003409,4.0
102003738,4.0
102017040,5.0
102003440,5.0
102003688,5.0
102017122,5.0
102017064,5.0
102067007,5.0
102003041,2.0
102017147,5.0
102003356,4.0
102003166,5.0
102017074,4.0
102003707,5.0
102003228,5.0
102003366,4.0
102003165,3.0
102003423,4.0
102053018,2.0
102053032,4.0
102003631,5.0
102003475,5.0
102003663,3.0
102003716,5.0
102017025,5.0
102003333,5.0
102017191,5.0
102003364,4.0
102003101,4.0
102017132,4.0
102017059,5.0
102003405,3.0
102003702,4.0
102003257,5.0
102003472,5.0
102003113,5.0
102053028,5.0
102003628,5.0
102183056,4.0
102003451,5.0
102003578,5.0
102053013,1.0
102003334,5.0
102053012,3.0
102017024,5.0
102003463,4.0
102017045,5.0
102017189,5.0
102003482,5.0
102003178,5.0
102003355,5.0
102017054,5.0
102003393,4.0
102003658,4.0
102003116,5.0
102017195,2.0
102003162,4.0
102003697,5.0
102003256,4.0
102003001,3.0
102016081,5.0
102003137,5.0
102017148,5.0
102003487,5.0
102017139,3.0
102003029,5.0
102003432,3.0
102003177,5.0
102003646,5.0
102003619,4.0
102003171,5.0
102016087,5.0
102016062,5.0
102053022,4.0
102053024,5.0
102003499,4.0
102003367,3.0
102003318,3.0
102017180,5.0
102017104,2.0
102003447,4.0
102003205,5.0
102003425,5.0
102017075,2.0
102017050,5.0
102003083,5.0
102003220,4.0
102183034,5.0
102003018,5.0
102003323,4.0
102003706,5.0
102017010,5.0
102003759,5.0
102003184,5.0
102003661,5.0
102016012,4.0
102016089,5.0
102003039,5.0
102016096,5.0
102003457,5.0
102016083,5.0
102003140,5.0
102053042,5.0
102003017,5.0
102003644,5.0
102016068,5.0
102003042,3.0
102017008,4.0
102003304,5.0
102053007,4.0
102003692,4.0
102017126,5.0
102017069,3.0
102003125,5.0
102003767,4.0
102017171,5.0
102017167,2.0
102016044,5.0
102003673,4.0
102003431,4.0
102003549,5.0
102016075,5.0
102017083,5.0
102003497,5.0
102003494,5.0
102003742,5.0
102017113,5.0
